tweet_id,favorites,retweets,date_time
779377524342161408,8634,3051,2016-09-23 17:50:56+00:00
779124354206535695,0,17925,2016-09-23 01:04:56+00:00
779056095788752897,14527,4439,2016-09-22 20:33:42+00:00
778990705243029504,19627,7039,2016-09-22 16:13:51+00:00
778774459159379968,0,9691,2016-09-22 01:54:34+00:00
778764940568104960,850,356,2016-09-22 01:16:45+00:00
778748913645780993,6771,1279,2016-09-22 00:13:04+00:00
778650543019483137,5666,1469,2016-09-21 17:42:10+00:00
778624900596654080,4543,994,2016-09-21 16:00:17+00:00
778408200802557953,13386,4238,2016-09-21 01:39:11+00:00
778396591732486144,0,11976,2016-09-21 00:53:04+00:00
778383385161035776,5734,1077,2016-09-21 00:00:35+00:00
778286810187399168,10202,3234,2016-09-20 17:36:50+00:00
778039087836069888,8353,2587,2016-09-20 01:12:28+00:00
778027034220126208,6455,1570,2016-09-20 00:24:34+00:00
777953400541634568,0,3458,2016-09-19 19:31:59+00:00
777885040357281792,6244,1595,2016-09-19 15:00:20+00:00
777684233540206592,11042,2871,2016-09-19 01:42:24+00:00
777641927919427584,0,4140,2016-09-18 22:54:18+00:00
777621514455814149,8578,2464,2016-09-18 21:33:11+00:00
777189768882946048,13999,4224,2016-09-17 16:57:35+00:00
776819012571455488,0,13401,2016-09-16 16:24:19+00:00
776813020089548800,4803,1181,2016-09-16 16:00:31+00:00
776477788987613185,8653,2711,2016-09-15 17:48:25+00:00
776249906839351296,0,8927,2016-09-15 02:42:54+00:00
776218204058357768,29353,15491,2016-09-15 00:36:55+00:00
776201521193218049,9426,2467,2016-09-14 23:30:38+00:00
776113305656188928,11559,4276,2016-09-14 17:40:06+00:00
776088319444877312,1805,147,2016-09-14 16:00:49+00:00
775898661951791106,0,16425,2016-09-14 03:27:11+00:00
775842724423557120,11488,2602,2016-09-13 23:44:54+00:00
775733305207554048,13643,3910,2016-09-13 16:30:07+00:00
775729183532220416,12779,4507,2016-09-13 16:13:44+00:00
775364825476165632,7253,2893,2016-09-12 16:05:54+00:00
775350846108426240,9977,3825,2016-09-12 15:10:21+00:00
775085132600442880,15269,4622,2016-09-11 21:34:30+00:00
774757898236878852,8457,1748,2016-09-10 23:54:11+00:00
774639387460112384,6609,1693,2016-09-10 16:03:16+00:00
774314403806253056,21396,5401,2016-09-09 18:31:54+00:00
773985732834758656,10549,3771,2016-09-08 20:45:53+00:00
773922284943896577,6281,1714,2016-09-08 16:33:46+00:00
773704687002451968,6473,1593,2016-09-08 02:09:06+00:00
773670353721753600,5253,1284,2016-09-07 23:52:41+00:00
773547596996571136,21726,6005,2016-09-07 15:44:53+00:00
773336787167145985,0,4948,2016-09-07 01:47:12+00:00
773308824254029826,22872,7313,2016-09-06 23:56:05+00:00
773247561583001600,9284,3190,2016-09-06 19:52:39+00:00
773191612633579521,9813,4038,2016-09-06 16:10:20+00:00
772877495989305348,8392,3786,2016-09-05 19:22:09+00:00
772826264096874500,7887,2309,2016-09-05 15:58:34+00:00
772615324260794368,0,3307,2016-09-05 02:00:22+00:00
772581559778025472,6354,1666,2016-09-04 23:46:12+00:00
772193107915964416,5900,1354,2016-09-03 22:02:38+00:00
772152991789019136,3742,1108,2016-09-03 19:23:13+00:00
772117678702071809,3705,722,2016-09-03 17:02:54+00:00
772114945936949249,2683,459,2016-09-03 16:52:02+00:00
772102971039580160,3932,917,2016-09-03 16:04:27+00:00
771908950375665664,6442,1844,2016-09-03 03:13:29+00:00
771770456517009408,11768,3289,2016-09-02 18:03:10+00:00
771500966810099713,8120,2555,2016-09-02 00:12:18+00:00
771380798096281600,10286,4948,2016-09-01 16:14:48+00:00
771171053431250945,0,7264,2016-09-01 02:21:21+00:00
771136648247640064,8978,2857,2016-09-01 00:04:38+00:00
771102124360998913,6107,1403,2016-08-31 21:47:27+00:00
771014301343748096,6743,1618,2016-08-31 15:58:28+00:00
770787852854652928,4832,1178,2016-08-31 00:58:39+00:00
770772759874076672,5084,1388,2016-08-30 23:58:40+00:00
770655142660169732,7199,1739,2016-08-30 16:11:18+00:00
770414278348247044,6210,2049,2016-08-30 00:14:12+00:00
770293558247038976,6099,1432,2016-08-29 16:14:30+00:00
770093767776997377,0,2973,2016-08-29 03:00:36+00:00
770069151037685760,7440,2248,2016-08-29 01:22:47+00:00
769940425801170949,30634,9307,2016-08-28 16:51:16+00:00
769695466921623552,6292,1643,2016-08-28 00:37:54+00:00
769335591808995329,0,7551,2016-08-27 00:47:53+00:00
769212283578875904,5277,1673,2016-08-26 16:37:54+00:00
768970937022709760,14005,6349,2016-08-26 00:38:52+00:00
768909767477751808,0,2605,2016-08-25 20:35:48+00:00
768855141948723200,4098,867,2016-08-25 16:58:45+00:00
768609597686943744,4024,1169,2016-08-25 00:43:02+00:00
768596291618299904,4942,1247,2016-08-24 23:50:10+00:00
768554158521745409,0,5694,2016-08-24 21:02:45+00:00
768473857036525572,13349,3329,2016-08-24 15:43:39+00:00
768193404517830656,10655,3458,2016-08-23 21:09:14+00:00
767884188863397888,4653,1348,2016-08-23 00:40:31+00:00
767754930266464257,15674,5256,2016-08-22 16:06:54+00:00
767500508068192258,7353,2286,2016-08-21 23:15:55+00:00
767191397493538821,12036,3670,2016-08-21 02:47:37+00:00
767122157629476866,9975,2794,2016-08-20 22:12:29+00:00
766864461642756096,0,5485,2016-08-20 05:08:29+00:00
766793450729734144,4936,1330,2016-08-20 00:26:19+00:00
766714921925144576,2558,367,2016-08-19 19:14:16+00:00
766693177336135680,3927,776,2016-08-19 17:47:52+00:00
766423258543644672,5882,1539,2016-08-18 23:55:18+00:00
766313316352462849,6647,1839,2016-08-18 16:38:26+00:00
766078092750233600,0,2556,2016-08-18 01:03:45+00:00
766069199026450432,4136,830,2016-08-18 00:28:24+00:00
766008592277377025,3673,488,2016-08-17 20:27:34+00:00
765719909049503744,7090,2110,2016-08-17 01:20:27+00:00
765669560888528897,5075,1205,2016-08-16 22:00:23+00:00
765395769549590528,26135,3309,2016-08-16 03:52:26+00:00
765371061932261376,6913,2118,2016-08-16 02:14:15+00:00
765222098633691136,11387,3307,2016-08-15 16:22:20+00:00
764857477905154048,6312,1737,2016-08-14 16:13:27+00:00
764259802650378240,5887,1470,2016-08-13 00:38:30+00:00
763956972077010945,748,53,2016-08-12 04:35:10+00:00
763837565564780549,12291,4039,2016-08-11 20:40:41+00:00
763183847194451968,5265,1438,2016-08-10 01:23:03+00:00
763167063695355904,0,2929,2016-08-10 00:16:21+00:00
763103485927849985,7227,2252,2016-08-09 20:03:43+00:00
762699858130116608,11868,3513,2016-08-08 17:19:51+00:00
762471784394268675,10987,6242,2016-08-08 02:13:34+00:00
762464539388485633,10071,4058,2016-08-08 01:44:46+00:00
762316489655476224,4695,1084,2016-08-07 15:56:28+00:00
762035686371364864,31106,15138,2016-08-06 21:20:40+00:00
761976711479193600,5278,1950,2016-08-06 17:26:19+00:00
761750502866649088,0,3811,2016-08-06 02:27:27+00:00
761745352076779520,4184,841,2016-08-06 02:06:59+00:00
761672994376806400,48275,28320,2016-08-05 21:19:27+00:00
761599872357261312,4036,1161,2016-08-05 16:28:54+00:00
761371037149827077,0,17607,2016-08-05 01:19:35+00:00
761334018830917632,5075,1421,2016-08-04 22:52:29+00:00
761292947749015552,4388,1059,2016-08-04 20:09:17+00:00
761227390836215808,5214,1522,2016-08-04 15:48:47+00:00
761004547850530816,11089,3384,2016-08-04 01:03:17+00:00
760893934457552897,3730,945,2016-08-03 17:43:45+00:00
760656994973933572,6429,1854,2016-08-03 02:02:14+00:00
760641137271070720,4872,1263,2016-08-03 00:59:13+00:00
760539183865880579,7403,3525,2016-08-02 18:14:06+00:00
760521673607086080,4123,1362,2016-08-02 17:04:31+00:00
760290219849637889,26184,11173,2016-08-02 01:44:48+00:00
760252756032651264,3858,847,2016-08-01 23:15:56+00:00
760190180481531904,5572,1747,2016-08-01 19:07:17+00:00
760153949710192640,0,30,2016-08-01 16:43:19+00:00
759943073749200896,5801,2025,2016-08-01 02:45:22+00:00
759923798737051648,14345,5485,2016-08-01 01:28:46+00:00
759846353224826880,6573,1914,2016-07-31 20:21:02+00:00
759793422261743616,5818,1851,2016-07-31 16:50:42+00:00
759557299618865152,4569,1160,2016-07-31 01:12:26+00:00
759447681597108224,8299,2397,2016-07-30 17:56:51+00:00
759446261539934208,1636,471,2016-07-30 17:51:13+00:00
759197388317847553,5946,1894,2016-07-30 01:22:17+00:00
759159934323924993,0,1128,2016-07-29 22:53:27+00:00
759099523532779520,14167,4041,2016-07-29 18:53:24+00:00
759047813560868866,6327,1948,2016-07-29 15:27:55+00:00
758854675097526272,3468,878,2016-07-29 02:40:28+00:00
758828659922702336,10953,3751,2016-07-29 00:57:05+00:00
758740312047005698,5608,1578,2016-07-28 19:06:01+00:00
758474966123810816,3702,971,2016-07-28 01:31:38+00:00
758467244762497024,4680,2159,2016-07-28 01:00:57+00:00
758405701903519748,5079,1855,2016-07-27 20:56:24+00:00
758355060040593408,3303,1033,2016-07-27 17:35:10+00:00
758099635764359168,18583,9691,2016-07-27 00:40:12+00:00
758041019896193024,2640,365,2016-07-26 20:47:17+00:00
757741869644341248,6721,3164,2016-07-26 00:58:34+00:00
757729163776290825,0,7666,2016-07-26 00:08:05+00:00
757725642876129280,4441,1181,2016-07-25 23:54:05+00:00
757611664640446465,4462,1067,2016-07-25 16:21:11+00:00
757597904299253760,0,291,2016-07-25 15:26:30+00:00
757596066325864448,4232,1026,2016-07-25 15:19:12+00:00
757400162377592832,14788,6654,2016-07-25 02:20:45+00:00
757393109802180609,5671,1687,2016-07-25 01:52:43+00:00
757354760399941633,4405,1382,2016-07-24 23:20:20+00:00
756998049151549440,6125,1928,2016-07-23 23:42:53+00:00
756939218950160384,6475,1943,2016-07-23 19:49:07+00:00
756651752796094464,4920,1259,2016-07-23 00:46:50+00:00
756526248105566208,10153,3481,2016-07-22 16:28:07+00:00
756303284449767430,3846,1079,2016-07-22 01:42:09+00:00
756288534030475264,42975,17199,2016-07-22 00:43:32+00:00
756275833623502848,6237,1491,2016-07-21 23:53:04+00:00
755955933503782912,7123,2795,2016-07-21 02:41:54+00:00
755206590534418437,16037,5194,2016-07-19 01:04:16+00:00
755110668769038337,20659,10786,2016-07-18 18:43:07+00:00
754874841593970688,0,7677,2016-07-18 03:06:01+00:00
754856583969079297,6714,2439,2016-07-18 01:53:28+00:00
754747087846248448,2524,503,2016-07-17 18:38:22+00:00
754482103782404096,5159,1898,2016-07-17 01:05:25+00:00
754449512966619136,3653,716,2016-07-16 22:55:55+00:00
754120377874386944,7697,2286,2016-07-16 01:08:03+00:00
753655901052166144,5697,2117,2016-07-14 18:22:23+00:00
753420520834629632,7695,3451,2016-07-14 02:47:04+00:00
753398408988139520,5606,1853,2016-07-14 01:19:12+00:00
753375668877008896,7447,2255,2016-07-13 23:48:51+00:00
753298634498793472,0,5519,2016-07-13 18:42:44+00:00
753294487569522689,3267,1011,2016-07-13 18:26:16+00:00
753039830821511168,36164,20254,2016-07-13 01:34:21+00:00
753026973505581056,3823,934,2016-07-13 00:43:15+00:00
752932432744185856,12272,6662,2016-07-12 18:27:35+00:00
752917284578922496,6756,1528,2016-07-12 17:27:23+00:00
752701944171524096,0,2775,2016-07-12 03:11:42+00:00
752682090207055872,5854,1547,2016-07-12 01:52:49+00:00
752660715232722944,4261,1512,2016-07-12 00:27:52+00:00
752568224206688256,5341,2211,2016-07-11 18:20:21+00:00
752519690950500352,7189,3350,2016-07-11 15:07:30+00:00
752334515931054080,3722,1067,2016-07-11 02:51:40+00:00
752309394570878976,0,15714,2016-07-11 01:11:51+00:00
752173152931807232,5810,1774,2016-07-10 16:10:29+00:00
751950017322246144,2983,885,2016-07-10 01:23:49+00:00
751937170840121344,5054,1273,2016-07-10 00:32:46+00:00
751830394383790080,5675,1886,2016-07-09 17:28:29+00:00
751793661361422336,5674,2812,2016-07-09 15:02:31+00:00
751598357617971201,7736,2952,2016-07-09 02:06:27+00:00
751583847268179968,4277,1065,2016-07-09 01:08:47+00:00
751538714308972544,4906,1223,2016-07-08 22:09:27+00:00
751456908746354688,3139,977,2016-07-08 16:44:23+00:00
751251247299190784,12188,5707,2016-07-08 03:07:09+00:00
751205363882532864,6148,1760,2016-07-08 00:04:50+00:00
751132876104687617,4936,1263,2016-07-07 19:16:47+00:00
750868782890057730,4650,1320,2016-07-07 01:47:22+00:00
750719632563142656,12815,4857,2016-07-06 15:54:42+00:00
750506206503038976,4335,1114,2016-07-06 01:46:38+00:00
750429297815552001,12814,4140,2016-07-05 20:41:01+00:00
750383411068534784,4435,1113,2016-07-05 17:38:41+00:00
750381685133418496,677,27,2016-07-05 17:31:49+00:00
750147208377409536,3014,930,2016-07-05 02:00:06+00:00
750132105863102464,3513,1252,2016-07-05 01:00:05+00:00
750117059602808832,4230,1273,2016-07-05 00:00:18+00:00
750101899009982464,2962,816,2016-07-04 23:00:03+00:00
750086836815486976,2110,516,2016-07-04 22:00:12+00:00
750071704093859840,7609,3216,2016-07-04 21:00:04+00:00
750056684286914561,3074,871,2016-07-04 20:00:23+00:00
750041628174217216,3088,592,2016-07-04 19:00:33+00:00
750026558547456000,2643,761,2016-07-04 18:00:41+00:00
750011400160841729,3150,877,2016-07-04 17:00:26+00:00
749996283729883136,2979,795,2016-07-04 16:00:22+00:00
749981277374128128,4973,2393,2016-07-04 15:00:45+00:00
749774190421639168,4544,1283,2016-07-04 01:17:51+00:00
749417653287129088,5937,1593,2016-07-03 01:41:06+00:00
749403093750648834,2535,514,2016-07-03 00:43:15+00:00
749395845976588288,8332,3325,2016-07-03 00:14:27+00:00
749317047558017024,5345,2173,2016-07-02 19:01:20+00:00
749075273010798592,5603,2009,2016-07-02 03:00:36+00:00
749064354620928000,4668,1481,2016-07-02 02:17:13+00:00
749036806121881602,3017,770,2016-07-02 00:27:45+00:00
748977405889503236,10485,3289,2016-07-01 20:31:43+00:00
748932637671223296,5646,2175,2016-07-01 17:33:49+00:00
748705597323898880,2699,922,2016-07-01 02:31:39+00:00
748699167502000129,4623,1537,2016-07-01 02:06:06+00:00
748692773788876800,4136,1297,2016-07-01 01:40:41+00:00
748575535303884801,5897,1922,2016-06-30 17:54:50+00:00
748568946752774144,2143,652,2016-06-30 17:28:39+00:00
748346686624440324,5081,1193,2016-06-30 02:45:28+00:00
748337862848962560,7389,3974,2016-06-30 02:10:24+00:00
748324050481647620,3588,731,2016-06-30 01:15:31+00:00
748307329658011649,3597,693,2016-06-30 00:09:04+00:00
748220828303695873,13729,7517,2016-06-29 18:25:21+00:00
747963614829678593,5617,2076,2016-06-29 01:23:16+00:00
747933425676525569,6437,2467,2016-06-28 23:23:19+00:00
747885874273214464,2855,939,2016-06-28 20:14:22+00:00
747844099428986880,2737,721,2016-06-28 17:28:22+00:00
747816857231626240,4703,1126,2016-06-28 15:40:07+00:00
747651430853525504,1334,148,2016-06-28 04:42:46+00:00
747648653817413632,12517,5640,2016-06-28 04:31:44+00:00
747600769478692864,2266,543,2016-06-28 01:21:27+00:00
747594051852075008,3559,1016,2016-06-28 00:54:46+00:00
747512671126323200,5368,1559,2016-06-27 19:31:23+00:00
747461612269887489,3755,1012,2016-06-27 16:08:30+00:00
747439450712596480,5264,1852,2016-06-27 14:40:26+00:00
747242308580548608,0,2805,2016-06-27 01:37:04+00:00
747219827526344708,5106,1513,2016-06-27 00:07:44+00:00
747204161125646336,3262,882,2016-06-26 23:05:29+00:00
747103485104099331,9267,3823,2016-06-26 16:25:26+00:00
746906459439529985,2819,285,2016-06-26 03:22:31+00:00
746872823977771008,5801,2065,2016-06-26 01:08:52+00:00
746818907684614144,5161,1684,2016-06-25 21:34:37+00:00
746790600704425984,4733,1544,2016-06-25 19:42:08+00:00
746757706116112384,9286,3771,2016-06-25 17:31:25+00:00
746726898085036033,5874,1737,2016-06-25 15:29:00+00:00
746542875601690625,4897,1826,2016-06-25 03:17:46+00:00
746521445350707200,0,952,2016-06-25 01:52:36+00:00
746507379341139972,4527,1052,2016-06-25 00:56:43+00:00
